path,label,cobb_deg,grade,n_vertebrae,mean_curv,sift_n,orb_n,angle_L1,angle_L2,angle_L3,angle_L4,angle_L5
data\achondroplasia\achron-022.jpg,achondroplasia,100.52280039752533,Severe,5,0.1556468714721431,381,236,-32.55243808621336,21.43598401116998,-0.9729549787632347,67.97036231131197,53.82471933630301
data\achondroplasia\achron-023.jpg,achondroplasia,179.89515937424864,Severe,5,0.15289763850772212,500,358,-2.6078664747279117,-40.90821725074867,9.848472949861911,85.71681608286006,-64.57409700597519
data\achondroplasia\achron-024.jpg,achondroplasia,66.59068491246788,Severe,3,0.16900622673976937,443,500,-1.089884411341689,65.5008005011262,-0.526565948310611,,
data\achondroplasia\achron-025.jpg,achondroplasia,158.56295768850129,Severe,5,0.31223654283058017,253,161,29.624017940607537,-83.0947765834823,72.5011173291828,-10.886596870911001,75.468181105019
data\achondroplasia\achron-026.jpg,achondroplasia,178.5573053338734,Severe,5,0.1615051005405586,450,370,-34.71393784281008,-36.9149400474046,-55.78411346239507,74.40304324595164,-32.48516264654279
data\achondroplasia\achron-027.jpg,achondroplasia,71.73341272738523,Severe,2,0.3536501365117522,258,365,-66.221442192419,5.51197053496622,,,
data\achondroplasia\achron-028.jpg,achondroplasia,179.91639139942612,Severe,5,0.14574755744990134,500,500,-3.2942240015088027,26.320846444928527,24.85408197516652,7.232444149993042,-65.83021170238874
data\achondroplasia\achron-029.jpg,achondroplasia,179.75247261225317,Severe,2,0.3331589604237252,500,500,85.95113818784955,0.0,,,
data\achondroplasia\achron-030.jpg,achondroplasia,179.2129109775306,Severe,2,0.3295992391135796,500,500,79.33028084771355,23.93629285123226,,,
data\achondroplasia\achron-031.jpg,achondroplasia,176.0189641122057,Severe,5,0.12604046398306074,500,500,-14.579564146055406,-7.82674672810253,-9.524891372231792,-77.79184634980194,-89.6050312326255
data\achondroplasia\achron-032.jpg,achondroplasia,87.01592170844951,Severe,5,0.38354955799281476,500,500,-65.51256081123178,-85.02279248777721,0.06345561565005986,0.435686154571405,-86.58023555387811
